node,x,y,z,lumped_control_volume,previous_indicator,low_order_indicator,raw_target_indicator,limited_indicator,physical_boundary_transfer,discrete_divergence_source,low_order_interior_transfer,raw_antidiffusive_transfer,limited_antidiffusive_transfer,limited_balance_residual,courant,component_id
28205,0.71875,0.90625,0.78125,3.0517578124999983e-05,-3.8772287297943317e-16,4.6035340536232161e-07,-5.4643539540552596e-08,-3.8774690753931151e-16,2.5229441869590686e-38,-4.7411887184945899e-37,1.4048871025086799e-11,-1.5716459500209774e-11,-1.4048871025087532e-11,3.6734198463196485e-40,0.20872672238135342,79
28206,0.75,0.90625,0.78125,3.0517578124999983e-05,-3.8746214565035645e-16,2.7528078571644117e-07,-3.0826897867239698e-08,-3.8773171388582013e-16,3.120992619687517e-38,-2.5481197641240515e-37,8.4009028962372789e-12,-9.341665148427756e-12,-8.4009028962455055e-12,4.4081038155835782e-39,0.18479104749067157,79
28207,0.78125,0.90625,0.78125,3.0517578124999983e-05,-3.8746219858991566e-16,1.4709495349938537e-07,-1.74296365245369e-08,-3.8746646022443153e-16,3.5040068224164799e-38,-1.3000612817743071e-37,4.4889817470351407e-12,-5.020892029538641e-12,-4.4889817470352707e-12,6.8876622118493409e-41,0.15870041217229283,79
28208,0.8125,0.90625,0.78125,3.0517578124999983e-05,-3.8746250299238107e-16,7.0223115275345768e-08,-8.0160892578376653e-09,-3.8746648669421113e-16,3.6555731537729186e-38,3.5477255739109356e-37,2.1430394184206613e-12,-2.3876710367792784e-12,-2.1430394184207829e-12,6.8876622118493409e-41,0.13142788488482698,79
28209,0.84375,0.90625,0.78125,3.0517578124999983e-05,1.1389826610674679e-10,3.0051104363203925e-08,-2.5411384802980423e-09,2.1629211672371484e-12,-1.0493946076704573e-32,-6.2845010722173161e-32,9.1361102591238887e-13,-9.9463631724554283e-13,-9.1702091803090418e-13,1.9721522630525295e-30,0.10433627166294386,79
28210,0.875,0.90625,0.78125,3.0517578124999983e-05,7.7813920890354757e-09,1.6579546784628511e-08,6.6498069379092487e-09,6.6183865598871841e-09,-6.5273001361618977e-31,5.3262549700473775e-30,2.6849837327859589e-13,-3.0303161153318045e-13,-3.0399048537418584e-13,1.8932661725304283e-29,0.078884714249125742,79
28211,0.90625,0.90625,0.78125,3.0517578124999983e-05,-3.8738460884166303e-16,1.7214356649796092e-09,-5.5689359048903703e-10,-3.8746226331679859e-16,2.7082364454056109e-38,8.347610500704512e-38,5.2534059215216583e-14,-6.9529091048237457e-14,-5.253405921758641e-14,1.4693679385278594e-39,0.056474644840850012,-1
28212,0.9375,0.90625,0.78125,3.0517578124999983e-05,3.2768975062349708e-09,3.7756116952431288e-09,3.4094725973197295e-09,3.4051189354957445e-09,-1.663135733264088e-31,-1.7250017145289358e-30,1.5219549225102465e-14,-1.1173678525494358e-14,-1.130654174033765e-14,7.0997481469891062e-30,0.036243182703951625,-1
28213,0.96875,0.90625,0.78125,3.0517578124999983e-05,7.2549236317979416e-10,8.1840733714194293e-10,7.5534696545569008e-10,7.5534696545569008e-10,-1.9695216249598885e-32,1.3783837605433579e-31,2.8355399768722165e-15,-1.9244498195267584e-15,-1.9244498195267584e-15,-2.1693674893577825e-30,0.018205358976799292,-1
28214,1,0.90625,0.78125,1.5258789062499992e-05,1.4415556291567716e-10,1.6058460700223045e-10,1.5047075147562859e-10,1.5047075147562859e-10,1.5810156913771635e-47,1.7188789764156042e-18,2.4896843923881413e-16,-1.5432518808901745e-16,-1.5432518808901745e-16,-2.4651903288156619e-31,0.0042486515131238359,-1
28215,0,0.9375,0.78125,1.5258789062499992e-05,-1.2063918972458031e-16,-2.5852801806324045e-17,-1.7293144791599085e-16,-1.7307254479278939e-16,0,9.9083878261055358e-25,1.4453346604583592e-21,-2.244242036585491e-21,-2.2463950040659375e-21,2.82118644197349e-37,0.0037792481637385893,-1
28216,0.03125,0.9375,0.78125,3.0517578124999983e-05,6.3723821413620742e-14,7.8784406606656662e-14,7.122789654277306e-14,7.1095057250407999e-14,1.2024237355274072e-36,-2.518254702377774e-36,4.5961258523669179e-19,-2.3060638622691642e-19,-2.3466031970973686e-19,-2.4074124304840448e-34,0.01211012489948159,-1
28217,0.0625,0.9375,0.78125,3.0517578124999983e-05,2.6427027754190603e-12,3.3117233757435335e-12,2.9085620263079897e-12,2.9004151254573233e-12,1.0236298773202493e-34,2.3645665358242881e-34,2.0416888437636495e-17,-1.2303507978379626e-17,-1.2552131661566462e-17,1.5407439555097887e-33,0.024555660326463214,-1
28218,0.09375,0.9375,0.78125,3.0517578124999983e-05,3.5939980170106218e-11,4.1790487076129731e-11,3.6734897062300492e-11,3.6656156532409699e-11,2.1143965430701499e-33,-9.164861607472882e-33,1.7854330157542429e-16,-1.5428436321500357e-16,-1.5668733348754975e-16,2.3419308123748788e-31,0.038396309195708994,-1
28219,0.125,0.9375,0.78125,3.0517578124999983e-05,4.8844084770122471e-11,6.8926163833556795e-11,3.4360401285515389e-11,3.4269318178787996e-11,3.8288062799453716e-33,-1.318385806911691e-32,6.1285641673078362e-16,-1.0548633590100521e-15,-1.057642994835473e-15,-9.8607613152626476e-32,0.053791706864890702,-1
28220,0.15625,0.9375,0.78125,3.0517578124999983e-05,8.2711354972838547e-11,5.5110448626632027e-10,2.5601447641582385e-10,2.5528607174925851e-10,7.9943556641270792e-33,-2.0228372913631286e-32,1.4294223977462204e-14,-9.0054324295195392e-15,-9.0276615758380615e-15,-1.5777218104420236e-30,0.071654300872747045,-1
28221,0.1875,0.9375,0.78125,3.0517578124999983e-05,6.9108199932606092e-09,1.2237560090626388e-08,9.792055445874524e-09,9.7359548308726113e-09,7.8040711281495639e-31,-1.3809766873168206e-30,1.6255920707293019e-13,-7.4630879051265375e-14,-7.6342933952446791e-14,1.2621774483536189e-29,0.090806730268724767,79
28222,0.21875,0.9375,0.78125,3.0517578124999983e-05,6.8828405386074745e-08,9.279833257331803e-08,8.3045404359247501e-08,8.2915186839662687e-08,8.7121770469867528e-30,-7.8006944669762848e-30,7.3150412558725807e-13,-2.9763574872041385e-13,-3.0160967204758714e-13,-1.0097419586828951e-28,0.10995266885294952,79
28223,0.25,0.9375,0.78125,3.0517578124999983e-05,2.6429062523629968e-07,2.9784986437962018e-07,2.836078530534044e-07,2.8188747788201064e-07,3.6230929360772438e-29,-1.2927292332745029e-28,1.0241467023718422e-12,-4.3463169330492509e-13,-4.8713337700224328e-13,-1.9185097214975007e-27,0.12835634894279566,79
28224,0.28125,0.9375,0.78125,3.0517578124999983e-05,3.408798768047031e-07,3.3913045495336983e-07,3.1268356128909586e-07,3.0131602943240661e-07,4.9103488083191864e-29,-3.0500333103123645e-29,-5.3388118021645496e-14,-8.0709514356304838e-13,-1.1540046850879888e-12,6.0584517520973707e-28,0.1453309025088251,79
28225,0.3125,0.9375,0.78125,3.0517578124999983e-05,1.3519441489443247e-10,2.1983330039770935e-08,-6.7353423981010643e-08,5.553223100696162e-12,1.9900082983101956e-32,7.419224915797441e-32,6.6675218581776395e-13,-2.7263413702631081e-12,-6.7070852101654741e-13,2.3665827156630354e-30,0.1603272095478798,79
28226,0.34375,0.9375,0.78125,3.0517578124999983e-05,-3.874753805401573e-16,1.105489685418016e-07,9.6693055655577579e-09,9.6693055655575197e-09,-5.6729080370953897e-38,-1.0400844091924998e-37,3.3736867959374059e-12,-3.0786029961011899e-12,-3.0786029961011972e-12,2.5243548967072378e-28,0.17265586996295607,79
28227,0.375,0.9375,0.78125,3.0517578124999983e-05,2.423872228240086e-07,3.4802509761488766e-07,2.9562645921097529e-07,2.8908237647465183e-07,3.4349232173534069e-29,-2.2555179113495179e-28,3.2238120968896181e-12,-1.5990795411350198e-12,-1.7987890972972351e-12,0,0.18190261060453916,79
28228,0.40625,0.9375,0.78125,3.0517578124999983e-05,1.697440375835568e-07,1.700184729638425e-07,1.2016544451070956e-07,1.1258780065060834e-07,2.2625580255322488e-29,-3.6450961461949395e-29,8.3751031581328161e-15,-1.5213936905863318e-12,-1.7526450290903968e-12,0,0.18773126410588772,79
28229,0.4375,0.9375,0.78125,3.0517578124999983e-05,1.0576728755843731e-15,1.5140918202250203e-08,-6.7054028131067001e-08,-3.7976415802447666e-16,1.2847642950234965e-37,7.0030351272623263e-37,4.620641218437902e-13,-2.5083906962071887e-12,-4.6206416571088717e-13,2.4074124304840448e-35,0.18984268625885894,79
28230,0.46875,0.9375,0.78125,3.0517578124999983e-05,1.1745070065099729e-08,9.9171878337390022e-08,4.2474088646738807e-08,4.1998009478423878e-08,1.2532231573733193e-30,-1.1910129740855252e-30,2.6680544516690141e-12,-1.730279226399267e-12,-1.7448080096120029e-12,-4.0389678347315804e-28,0.1881557362942135,79
28231,0.5,0.9375,0.78125,3.0517578124999983e-05,1.181739624578535e-07,1.5165810994568139e-07,1.3844531087258931e-07,1.3544594052428386e-07,1.0582892776346929e-29,-4.7228979299503136e-29,1.0218550869088093e-12,-4.0322262796301449e-13,-4.9475614689323463e-13,-1.0097419586828951e-28,0.18309639790854121,79
28232,0.53125,0.9375,0.78125,3.0517578124999983e-05,-3.8741121779440279e-16,3.6039314790767424e-08,-2.7563007654978019e-08,-3.8832349874837527e-16,-2.7383855740369714e-38,-1.6407503280388532e-37,1.0998326165215644e-12,-1.9409888441694764e-12,-1.099832616549405e-12,1.7632415262334313e-38,0.18815573629421348,79
28233,0.5625,0.9375,0.78125,3.0517578124999983e-05,-3.8835309196196997e-16,5.527558906607079e-08,-6.7516848290291809e-10,-3.8836667095890564e-16,-1.9735833558784079e-38,2.5481876793370039e-38,1.6868771195808059e-12,-1.7074816146537376e-12,-1.6868771195812203e-12,2.7550648847397363e-40,0.18984268625885894,79
28234,0.59375,0.9375,0.78125,3.0517578124999983e-05,5.5652582481112426e-08,1.2936353182297418e-07,8.2010697506924647e-08,8.1519494776397701e-08,1.7097689403611295e-30,2.8549317624443059e-29,2.249479655208182e-12,-1.445093820680222e-12,-1.4600841383842914e-12,4.0389678347315804e-28,0.18773126410588764,79
28235,0.625,0.9375,0.78125,3.0517578124999983e-05,1.0791830999588772e-07,1.8503640768919229e-07,1.3520950505851159e-07,1.3478549065226776e-07,1.2049269364361427e-30,-2.2530723565128167e-30,2.3534575712068031e-12,-1.5205963937585656e-12,-1.5335362865272368e-12,-3.0292258760486853e-28,0.18190261060453913,79
28236,0.65625,0.9375,0.78125,3.0517578124999983e-05,1.0150143588456457e-07,1.775682021168593e-07,1.2231015115296574e-07,1.2178008977813145e-07,-7.2067631468778743e-31,-8.5975060387846143e-29,2.3213734812101645e-12,-1.6863418873258518e-12,-1.7025180767434023e-12,1.0097419586828951e-28,0.17265586996295615,79
28237,0.6875,0.9375,0.78125,3.0517578124999983e-05,8.155440776271059e-08,1.4741930671877853e-07,9.9297697970367396e-08,9.8721648564681207e-08,-1.9060808992450925e-30,9.9727115673307655e-30,2.0100371995870327e-12,-1.4685549544803194e-12,-1.4861345872222075e-12,5.0487097934144756e-28,0.16032720954787988,79
28238,0.71875,0.9375,0.78125,3.0517578124999983e-05,6.3861272873963962e-08,1.1196995044511983e-07,7.7744893004607536e-08,7.7344486307504429e-08,-2.3644453060236502e-30,8.9900381084305438e-29,1.4681603262681837e-12,-1.0444658642734461e-12,-1.0566853069340629e-12,-2.5243548967072378e-28,0.14533090250882513,79
28239,0.75,0.9375,0.78125,3.0517578124999983e-05,4.2773106232952652e-08,7.2585641320273898e-08,5.1551290773983637e-08,5.1344400806941112e-08,-2.0331746336840517e-30,3.5464802836372987e-29,9.0980636863162963e-13,-6.4191743610504905e-13,-6.4823121683754787e-13,-4.543838814073028e-28,0.12835634894279566,79
28240,0.78125,0.9375,0.78125,3.0517578124999983e-05,2.3629342193334492e-08,3.9264796907498602e-08,2.8299416702158769e-08,2.8202024819792028e-08,-1.2876983849624317e-30,1.2192133187423198e-29,4.7715621075940256e-13,-3.3463684708678673e-13,-3.3760901146565457e-13,-2.5243548967072378e-29,0.10995266885294952,79
28241,0.8125,0.9375,0.78125,3.0517578124999983e-05,1.1402816677407329e-08,1.8184844876159029e-08,1.3505983322878456e-08,1.3465774805883564e-08,-6.5728727694128051e-31,-5.3989317781365841e-30,2.0697107540135795e-13,-1.4278752298829867e-13,-1.4401458954698064e-13,-6.3108872417680944e-29,0.090806730268724767,79
28242,0.84375,0.9375,0.78125,3.0517578124999983e-05,4.2226887941485616e-09,6.4785692321098159e-09,4.9060487274459164e-09,4.8939470722396387e-09,-2.4007430619984258e-31,-3.3689520176677281e-31,6.8844007506141757e-14,-4.7989517354244955e-14,-4.8358830562444356e-14,6.3108872417680944e-30,0.071654300872747087,-1
28243,0.875,0.9375,0.78125,3.0517578124999983e-05,3.3222117258032375e-10,9.1142175147108817e-10,4.6246631665894616e-10,4.6149112932249048e-10,-1.732822978420851e-32,1.9160621722587296e-31,1.7675798916344118e-14,-1.3701032556522881e-14,-1.3730792912249678e-14,7.8886090522101181e-31,0.053791706864890702,-1
28244,0.90625,0.9375,0.78125,3.0517578124999983e-05,5.8283278078089259e-12,1.1694673399543803e-10,1.874278864022311e-11,1.8725576907880691e-11,-2.5492426632608029e-34,-8.8110325417623471e-34,3.3910646419564526e-15,-2.9969465745610006e-15,-2.997471834947427e-15,1.9721522630525295e-31,0.03839630919570898,-1
28245,0.9375,0.9375,0.78125,3.0517578124999983e-05,1.014413652037349e-10,1.396643208050366e-10,1.1597193223298291e-10,1.1589670967308577e-10,-3.2377394483606313e-33,-2.5754562318272537e-32,1.1664720337311299e-15,-7.2303431921550539e-16,-7.2532992956392874e-16,4.4373425918681914e-31,0.024555660326463256,-1
28246,0.96875,0.9375,0.78125,3.0517578124999983e-05,1.6170763418825402e-11,2.2196943273801233e-11,1.7726788804400808e-11,1.7726788804400808e-11,-2.7730517476973152e-34,2.8355049017373117e-33,1.8390441451952598e-16,-1.3641828825074526e-16,-1.3641828825074526e-16,-2.4651903288156619e-32,0.012110124899481616,-1
28247,1,0.9375,0.78125,1.5258789062499992e-05,4.5930496133143362e-12,5.3510396191460141e-12,4.8504880540091218e-12,4.8504880540091218e-12,3.5066416713336595e-49,3.7723825049854478e-20,1.1528285785418842e-17,-7.6378107473280573e-18,-7.6378107473280573e-18,8.4740917553038378e-33,0.0027027221922791876,-1
28248,0,0.96875,0.78125,1.5258789062499992e-05,8.1434336112509742e-18,1.2653609604452681e-17,6.1962208905513179e-18,6.0542723923172306e-18,-0,-3.4097160244883079e-26,6.8853921275261098e-23,-9.8531932279988995e-23,-1.0069789447228159e-22,1.7632415262334313e-38,0.0017858522559752673,-1
28249,0.03125,0.96875,0.78125,3.0517578124999983e-05,6.693430298747264e-15,8.1558554593585488e-15,7.4120910457122467e-15,7.4053933389672971e-15,5.9298652907852804e-38,3.7196509650104356e-37,4.4629674090920558e-20,-2.2697888600045812e-20,-2.2902286388893189e-20,-3.009265538105056e-36,0.0063567519234921464,-1
28250,0.0625,0.96875,0.78125,3.0517578124999983e-05,2.7389723845594936e-13,3.2640209205908768e-13,2.9781849781839139e-13,2.9726956795504127e-13,5.0000591227722403e-36,5.3420807265707534e-35,1.6023209717754592e-18,-8.7230207033374858e-19,-8.8905408032368116e-19,9.6296497219361793e-34,0.012910000321224585,-1
