node,x,y,z,lumped_control_volume,previous_indicator,low_order_indicator,raw_target_indicator,limited_indicator,physical_boundary_transfer,discrete_divergence_source,low_order_interior_transfer,raw_antidiffusive_transfer,limited_antidiffusive_transfer,limited_balance_residual,courant,component_id
116,0.796875,0.015625,0,0.00024414062499999989,0,5.1846550930155816e-44,2.5923275465077908e-44,2.5923275465077908e-44,0,0,1.2657849348182567e-47,-6.3289246740912837e-48,-6.3289246740912837e-48,0,0.24615384615384622,-1
117,0.8125,0.015625,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
118,0.828125,0.015625,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
119,0.84375,0.015625,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
120,0.859375,0.015625,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
121,0.875,0.015625,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
122,0.890625,0.015625,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
123,0.90625,0.015625,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
124,0.921875,0.015625,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
125,0.9375,0.015625,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
126,0.953125,0.015625,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
127,0.96875,0.015625,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
128,0.984375,0.015625,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
129,1,0.015625,0,0.00012207031249999995,0,0,0,0,-0,0,0,0,0,0,0.49230769230769245,-1
130,0,0.03125,0,0.00012207031249999995,0,0,0,0,0,0,0,0,0,0,0.16410256410256413,-1
131,0.015625,0.03125,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
132,0.03125,0.03125,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
133,0.046875,0.03125,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
134,0.0625,0.03125,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
135,0.078125,0.03125,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
136,0.09375,0.03125,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
137,0.109375,0.03125,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
138,0.125,0.03125,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
139,0.140625,0.03125,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
140,0.15625,0.03125,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
141,0.171875,0.03125,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
142,0.1875,0.03125,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
143,0.203125,0.03125,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
144,0.21875,0.03125,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
145,0.234375,0.03125,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
146,0.25,0.03125,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
147,0.265625,0.03125,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
148,0.28125,0.03125,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
149,0.296875,0.03125,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
150,0.3125,0.03125,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
151,0.328125,0.03125,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
152,0.34375,0.03125,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
153,0.359375,0.03125,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
154,0.375,0.03125,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
155,0.390625,0.03125,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
156,0.40625,0.03125,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
157,0.421875,0.03125,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
158,0.4375,0.03125,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
159,0.453125,0.03125,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
160,0.46875,0.03125,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
161,0.484375,0.03125,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
162,0.5,0.03125,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
163,0.515625,0.03125,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
164,0.53125,0.03125,0,0.00024414062499999989,0,0,-9.4212966029896953e-52,0,0,0,0,-2.30012124096428e-55,0,0,0.24615384615384622,-1
165,0.546875,0.03125,0,0.00024414062499999989,0,0,-4.8224350419737411e-40,0,0,0,0,-1.1773523051693698e-43,0,0,0.24615384615384622,-1
166,0.5625,0.03125,0,0.00024414062499999989,0,1.8842593205979391e-51,1.0585653992518708e-51,1.0586435654118243e-51,0,0,4.60024248192856e-55,-2.0158543001612988e-55,-2.0156634648098497e-55,3.6222716315306849e-71,0.24615384615384622,-1
167,0.578125,0.03125,0,0.00024414062499999989,0,9.6448700839474821e-40,3.0661296591077446e-37,2.3496499443878156e-38,0,0,2.3547046103387396e-43,7.4621210669526267e-41,5.500979598506689e-42,0,0.24615384615384622,-1
168,0.59375,0.03125,0,0.00024414062499999989,-5.5989141230522891e-51,-4.6834843102707146e-51,2.8187979693295083e-34,-1.4868172229344309e-52,-4.6695037352100501e-72,-2.9184398345062814e-71,2.2349360663612652e-55,6.8818309798083667e-38,1.1071295380803881e-54,0,0.24615384615384622,-1
169,0.609375,0.03125,0,0.00024414062499999989,-2.0014338720909479e-37,-7.6313876747847172e-37,-5.1410330264056864e-37,-4.935757757473286e-37,-1.6691991940054469e-58,-1.0432494962534043e-57,-1.3745004401107829e-40,6.0799674032691152e-41,6.5811277278111074e-41,1.0195788231247695e-56,0.24615384615384622,-1
170,0.625,0.03125,0,0.00024414062499999989,0,-5.6375959386590166e-34,-4.7150987848809095e-34,-4.7150987848809095e-34,0,0,-1.3763661959616733e-37,2.2521903168410812e-38,2.2521903168410812e-38,-2.0880974297595278e-53,0.24615384615384622,-1
171,0.640625,0.03125,0,0.00024414062499999989,8.1520476222293408e-38,7.7112283509771199e-38,-4.7904174557850389e-35,1.0023834277132793e-38,6.7988213401741107e-59,4.2492633376088189e-58,-1.0762189239556185e-42,-1.171418135775394e-38,-1.6379015925937103e-41,0,0.24615384615384622,-1
172,0.65625,0.03125,0,0.00024414062499999989,2.625120874880719e-35,3.9904953585938096e-34,2.6423295954160949e-34,2.615506669394425e-34,2.1893551966020952e-56,1.3683469978763094e-55,9.1015216579729876e-38,-3.2914203202580908e-38,-3.3569059794906839e-38,2.0880974297595278e-53,0.24615384615384622,-1
173,0.671875,0.03125,0,0.00024414062499999989,-3.6641632122282633e-40,9.5986772232660744e-35,6.2854795062617168e-35,6.2854801245890197e-35,-3.05591824233796e-61,-1.9099489014612249e-60,2.3434360021724102e-38,-8.0888616137801646e-39,-8.0888601041920254e-39,0,0.24615384615384622,-1
174,0.6875,0.03125,0,0.00024414062499999989,-7.4435228511759706e-36,-1.023146095477494e-34,-5.9513894842751695e-35,-5.9513894842751695e-35,-6.2079104970696025e-57,-3.8799440606685018e-56,-2.3161886400530615e-38,1.0449393238524827e-38,1.0449393238524827e-38,2.6101217871994098e-54,0.24615384615384622,-1
175,0.703125,0.03125,0,0.00024414062499999989,-1.1910097421466761e-36,-3.0621112616992147e-35,-1.7431946193985932e-35,-1.7407577414988327e-35,-9.9330411529755916e-58,-6.2081507206097442e-57,-7.1850837096790664e-39,3.2200113337417504e-39,3.2259607426767125e-39,-6.5253044679985245e-55,0.24615384615384622,-1
176,0.71875,0.03125,0,0.00024414062499999989,6.7466787985747697e-37,7.9460012941811302e-36,4.2483623815378187e-36,4.2483623815378187e-36,5.6267413926743528e-58,3.5167133704214704e-57,1.7752278843563597e-39,-9.0274387515705813e-40,-9.0274387515705813e-40,3.2626522339992623e-55,0.24615384615384622,-1
177,0.734375,0.03125,0,0.00024414062499999989,1.2225067732659231e-37,2.8507566029046735e-36,1.4946535666804547e-36,1.4946535666804547e-36,1.0195726918870447e-58,6.3723293242940288e-58,6.6613914198683592e-40,-3.3107984282817825e-40,-3.3107984282817825e-40,0,0.24615384615384622,-1
178,0.75,0.03125,0,0.00024414062499999989,6.7102479551590049e-39,2.9507499907870203e-37,1.5154951283639671e-37,1.5154951283639671e-37,5.5963580083844677e-60,3.4977237552402918e-59,7.0401550567271219e-41,-3.5040401914625306e-41,-3.5040401914625306e-41,-5.0978941156238473e-57,0.24615384615384622,-1
179,0.765625,0.03125,0,0.00024414062499999989,1.2763972757117742e-40,1.3888842006917263e-38,7.0212284282522248e-39,7.0212284282522248e-39,1.0645174609856038e-61,6.6532341311600238e-61,3.3596685252309763e-42,-1.6766634713537684e-42,-1.6766634713537684e-42,3.1861838222649046e-58,0.24615384615384622,-1
